[2020/11/08 22:53:21.320268,  0] ../../source3/smbd/server.c:1775(main)
  smbd version 4.11.2 started.
  Copyright Andrew Tridgell and the Samba Team 1992-2019
[2020/11/08 22:53:21.538308,  0] ../../lib/util/become_daemon.c:136(daemon_ready)
  daemon_ready: daemon 'smbd' finished starting up and ready to serve connections
[2020/11/08 23:08:27.939057,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:27.940244,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:27.940868,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:27.941494,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:27.942148,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:27.943021,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:27.943635,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:27.944223,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.095627,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.096071,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.096462,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.097027,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.097543,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.098109,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.098512,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.099080,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.113512,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.114142,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.114721,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.115373,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.116042,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.116552,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.117066,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.117477,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.161110,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.161584,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.162023,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.162444,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.162856,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.163182,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.163510,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.163784,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.319363,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.319735,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.320004,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.320352,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.320703,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.320966,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.321291,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.375612,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.376056,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.376738,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.422978,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.423339,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.423621,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.423917,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.424234,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.424536,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:08:28.424790,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.809462,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.810159,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.810695,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.811182,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.811685,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.812148,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.812618,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.813052,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.944041,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.944690,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.945187,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.945728,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.946160,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.946542,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.946934,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:16.947394,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.046235,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.046714,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.047133,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.047550,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.048011,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.048665,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.094488,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.094893,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.096158,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.096920,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.098047,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.099122,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.099988,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.255151,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.255797,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.256413,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.256975,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.257564,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.258088,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.258600,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.309226,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.309751,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.310391,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.310922,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.311470,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.311926,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.312448,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.313275,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.363691,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.364531,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.365413,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.366086,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.420521,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.420929,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.421297,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.421657,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.422060,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:17:17.422479,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.580094,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.580610,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.581178,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.581777,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.582114,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.582600,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.583020,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.731341,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.732265,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.733233,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.733672,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.734318,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.734926,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.735665,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.849804,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.850749,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.851288,  0] ../../source3/smbd/service.c:784(make_connection_snum)
  make_connection_snum: canonicalize_connect_path failed for service samba_shared, path /data/samba/samba_shared
[2020/11/08 23:19:23.851780,  0] ../../source3/smbd/service.c:784(make_connection_snum)
