 
**************************************************************************
**************************************************************************
          PRACTICA STR: CONTROL DE TRAFICO
**************************************************************************
**************************************************************************
 
Inicializando Entorno Gráfico...
Entorno Gráfico Inicializado.
======================INICIO TASK GeneraCoches
======================INICIO TASK GeneraCoches
======================INICIO TASK Coche
======================INICIO TASK GeneraTaxis
======================INICIO TASK GeneraPeatones
======================INICIO TASK Coche
======================INICIO TASK Taxi
======================INICIO TASK GeneraTrenes
======================INICIO TASK Tren
======================INICIO TASK Peaton
======================INICIO TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Peatón
======================INICIO TASK Coche
======================FIN TASK Tren
======================INICIO TASK Coche
======================FIN TASK Coche
======================INICIO TASK Peaton
======================INICIO TASK Coche
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================FIN TASK Coche
======================FIN TASK Taxi
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Taxi
======================INICIO TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================FIN TASK Peatón
======================INICIO TASK Coche
======================INICIO TASK Tren
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Taxi
======================INICIO TASK Coche
======================INICIO TASK Taxi
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================INICIO TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================FIN TASK Tren
======================FIN TASK Coche
======================FIN TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Taxi
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================FIN TASK Peatón
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================INICIO TASK Tren
======================INICIO TASK Taxi
======================INICIO TASK Coche
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================INICIO TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Tren
======================FIN TASK Taxi
======================FIN TASK Peatón
======================FIN TASK Peatón
======================FIN TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================INICIO TASK Taxi
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================INICIO TASK Tren
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Peaton
======================INICIO TASK Coche
======================INICIO TASK Coche
======================FIN TASK Coche
======================FIN TASK Coche
======================FIN TASK Peatón
======================FIN TASK Peatón
======================FIN TASK Coche
======================INICIO TASK Coche
======================FIN TASK Taxi
======================FIN TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Coche
======================INICIO TASK Taxi
======================INICIO TASK Coche
======================INICIO TASK Coche
